Competência,Prêmio Direto,Prêmio Ganho,Sinistro Ocorrido,Sinistralidade

202101,258.921.958,128.495.363,88.642.191,"0,69"

202102,275.927.116,126.448.351,86.389.051,"0,68"

202103,309.220.559,154.296.138,106.265.897,"0,69"

202104,284.513.585,161.699.356,109.419.489,"0,68"

202105,343.268.818,185.814.280,112.961.807,"0,61"

202106,379.533.126,197.325.569,145.759.905,"0,74"

202107,438.671.705,230.236.593,166.256.426,"0,72"

202108,429.880.101,258.127.562,209.103.614,"0,81"

202109,350.212.410,273.688.109,220.753.201,"0,81"

202110,312.882.904,301.372.726,240.496.711,"0,80"

202111,317.139.104,307.305.544,296.180.453,"0,96"

202112,327.965.507,335.107.845,324.174.297,"0,97"

202201,287.351.605,340.155.172,285.879.730,"0,84"

202202,366.590.742,313.016.973,285.054.537,"0,91"

202203,385.316.127,351.942.867,318.895.538,"0,91"

202204,375.032.500,350.596.136,300.180.419,"0,86"

202205,404.483.548,367.959.557,354.888.742,"0,96"

202206,446.614.230,360.960.607,379.293.457,"1,05"

202207,498.840.924,378.801.998,319.367.411,"0,84"

202208,509.914.954,384.896.167,323.886.830,"0,84"

202209,441.402.856,377.222.251,303.846.282,"0,81"

202210,376.706.446,395.905.130,293.064.767,"0,74"

202211,389.967.341,389.273.201,306.896.439,"0,79"

202212,399.575.302,405.055.876,375.390.152,"0,93"

202301,347.545.827,413.618.601,301.366.254,"0,73"

202302,366.377.763,376.394.488,284.406.112,"0,76"

202303,444.945.506,419.503.384,333.634.922,"0,80"

202304,395.591.727,408.825.945,304.258.306,"0,74"

202305,475.996.294,428.091.107,304.995.964,"0,71"

202306,444.647.190,416.498.847,150.887.240,"0,36"
