Mes,Valor

janeiro 2021,6.04

fevereiro 2021,6.62

março 2021,7.37

abril 2021,7.82

maio 2021,8.15

junho 2021,7.67

julho 2021,8.58

agosto 2021,8.58

setembro 2021,8.52

outubro 2021,9.97

novembro 2021,8.25

dezembro 2021,10.89

janeiro 2022,8.97

fevereiro 2022,10.12

março 2022,9.57

abril 2022,10.78

maio 2022,10.21

junho 2022,9.95

julho 2022,9.76

agosto 2022,10.03

setembro 2022,9.64

outubro 2022,8.29

novembro 2022,9.56

dezembro 2022,8.12

janeiro 2023,8.76

fevereiro 2023,7.62

março 2023,7.25

abril 2023,6.25

maio 2023,5.68

junho 2023,6.28

julho 2023,5.72
