Mes,Valor

janeiro 2021,4.56

fevereiro 2021,5.2

março 2021,6.1

abril 2021,6.76

maio 2021,8.06

junho 2021,8.35

julho 2021,8.99

agosto 2021,9.68

setembro 2021,10.25

outubro 2021,10.67

novembro 2021,10.74

dezembro 2021,10.06

janeiro 2022,10.38

fevereiro 2022,10.54

março 2022,11.3

abril 2022,12.13

maio 2022,11.73

junho 2022,11.89

julho 2022,10.07

agosto 2022,8.73

setembro 2022,7.17

outubro 2022,6.47

novembro 2022,5.9

dezembro 2022,5.79

janeiro 2023,5.77

fevereiro 2023,5.6

março 2023,4.65

abril 2023,4.18

maio 2023,3.94

junho 2023,3.16

julho 2023,3.99
